{0, 29, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0},
{30, 29, 3, 4, 31, 28, 2, 7, 5, 32, 27, 1, 8, 6, 16, 34, 33, 26, 9, 14, 15, 17, 35, 25, 10, 13, 19, 18, 36, 24, 11, 12, 20, 37, 23, 22, 21},
{0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0},
{3, 2, 15, 16, 4, 9, 1, 14, 17, 5, 8, 10, 13, 19, 18, 6, 7, 11, 12, 20, 30, 31, 24, 23, 22, 21, 29, 32, 25, 26, 27, 28, 33, 37, 36, 35, 34},
{0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 0, 10, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0},
{22, 21, 6, 7, 23, 20, 5, 1, 8, 24, 19, 4, 2, 9, 11, 25, 26, 18, 3, 15, 10, 12, 37, 27, 17, 16, 14, 13, 36, 28, 29, 30, 31, 35, 34, 33, 32},
{0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 35, 16, 0, 0, 0, 0, 0, 0, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0},
{26, 27, 12, 11, 25, 31, 28, 13, 10, 24, 32, 30, 29, 14, 9, 23, 33, 34, 35, 16, 15, 8, 22, 37, 36, 17, 5, 7, 21, 19, 18, 4, 6, 20, 1, 2, 3},
{0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 24, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0},
{29, 30, 31, 32, 9, 28, 27, 26, 33, 8, 10, 11, 13, 25, 34, 7, 18, 17, 12, 14, 24, 35, 6, 19, 16, 15, 23, 36, 5, 20, 21, 22, 37, 4, 3, 2, 1},
{0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7},
{16, 17, 27, 28, 15, 18, 26, 1, 29, 14, 19, 25, 2, 34, 30, 13, 20, 24, 3, 35, 33, 31, 12, 21, 23, 4, 36, 32, 11, 22, 5, 6, 37, 10, 9, 8, 7},
{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 37, 0, 25, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0},
{6, 7, 8, 28, 5, 10, 9, 29, 27, 4, 11, 36, 30, 26, 24, 3, 12, 35, 37, 31, 25, 23, 2, 13, 34, 32, 21, 22, 1, 14, 33, 20, 19, 15, 16, 17, 18},
{30, 17, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8},
{30, 17, 16, 14, 31, 29, 18, 15, 13, 32, 28, 20, 19, 3, 12, 33, 27, 21, 1, 2, 4, 11, 34, 26, 22, 23, 5, 10, 35, 25, 24, 6, 9, 36, 37, 7, 8},
{0, 0, 0, 0, 0, 6, 0, 0, 37, 0, 0, 0, 33, 0, 0, 0, 0, 13, 0, 0, 24, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0},
{7, 8, 35, 36, 5, 6, 9, 34, 37, 4, 11, 10, 33, 32, 31, 3, 12, 13, 22, 23, 24, 30, 2, 14, 21, 20, 25, 29, 1, 15, 19, 26, 28, 16, 17, 18, 27},
{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 33, 0, 0, 13, 0, 0, 35, 0},
